Code,MarketCap
060310,138086746490
095570,213140494890
006840,215670293080
054620,140720124900
265520,318617627850
211270,231815012480
139050,64956359160
027410,375209820720
282330,2283203982600
126600,242609404750
138930,2415663285000
001460,268272142500
001465,31080055500
013720,58468666620
083790,271436462460
001040,2827251106200
079160,756628678500
035760,1741174827600
311690,132495779080
00104K,314875144000
000120,2837855593600
011150,99168933480
011155,4240000000
001045,124086242700
097950,4508728707000
097955,179601684900
051500,296789650000
058820,301396169480
023460,66588000000
056730,90193313362
000480,290252133100
065770,23603934080
083660,78457638861
000590,75503122800
012030,315440726944
456440,12144775000
016610,189310894940
005830,6995040000000
000990,2060094483200
139130,1498632080380
060900,42938989300
290120,54535710070
025440,61254635760
001530,705051325500
000210,997500078400
001880,316464625400
000215,42658709500
375500,1322918202000
37550L,52904372550
37550K,40121537300
068790,166605353580
007340,826504213500
004840,130541500000
241520,104292761250
155660,70400000000
069730,60192000000
017860,1037468508000
180400,144448884960
017940,452074000000
245620,76504723719
037370,85990970840
278990,57333345700
365550,849159665000
050120,37708159080
383220,2773432230000
007700,649689635870
214270,96758847330
130500,41453398200
114090,775051545100
900290,222000625000
078930,4464583912900
083450,361528506000
006360,1365024765500
001250,241411259700
007070,2335209660600
078935,67198698900
297890,281855695890
440290,88392462900
078150,203511435620
012630,483310522890
039570,208958688050
089470,140998000000
294870,1309578647100
009540,7919511680400
267250,5584811109500
267270,1059902663400
322000,260400000000
042670,1606807796650
267260,4484263594000
329180,10466350376400
097230,293125469120
195940,1085034825300
014790,78556597075
028300,10661181341500
003580,273017436300
278650,288160093655
343090,39729059010
067630,1484598838250
024850,216148500750
047920,575564742180
115450,579465884990
046210,174269239750
204320,1556628528000
060980,352370056500
011200,12588751591920
403870,4262815001600
036640,87007536000
082740,651765785340
035000,103877654430
439730,11399950000
442770,10293450000
448760,10897800000
467930,9306000000
469480,9263700000
003560,58906362440
095340,1524068470200
099520,58141862016
175330,2592294885040
950170,226047360385
234080,203474018900
067290,103716664080
001060,766107097000
001067,12766358400
001065,10720163850
096760,250975178090
035900,2618744660400
318000,72980862050
024840,45156868890
105560,25622953072000
432320,407178354275
024120,49852500000
455250,9427950000
458320,12138525000
464680,25758380000
002380,2359358050500
021320,101864000000
344820,655589517600
036670,83848800000
009070,119700000000
009440,69997137600
112190,11329152270
119650,71615214580
044180,17099391360
092220,294118001565
151860,387360000000
046440,218976203520
003620,1540517637760
016380,748066549560
035600,366943307100
001390,435463094400
226360,60627181021
111870,41572037430
033180,120578742570
060720,310648039040
015590,97636396128
001940,422203518000
058400,121438053240
025000,221672000000
092230,240804822000
000040,44704386225
044450,205233473200
030200,10082355716000
033780,12445492221000
058850,167325200000
058860,107364170000
122450,223279622700
052900,77811814004
376190,175398000000
061970,306054298080
309960,100762817260
093050,382459200000
003550,14739103044100
034220,4071942666000
051900,4982204843000
051905,323353338000
373220,93951000000000
003555,195498814000
032640,4505829245520
011070,4780755614000
066570,15530177548600
066575,754465048800
037560,280744885625
051910,31978331379000
051915,2306640000000
079550,3150400000000
006260,2830380000000
010120,1923000000000
000680,327032516400
060370,231887794080
417200,1765734399900
229640,565947763920
108320,1223075360000
001120,1063962000000
108670,366777703000
108675,21678930000
383800,527862374800
38380K,13436663450
086960,160093563808
023150,48476915820
038340,33979354334
035420,31669675830000
160550,108554752340
053290,94199949900
181710,927568907100
060250,540160217950
104200,68948107500
400760,143058000000
005940,3893757912540
005945,201730647920
338100,78651900000
034310,481544644680
030190,643152069000
008260,142571583245
004250,183049200000
004255,14942400000
222160,79551289560
456040,759700207500
010060,1842988628000
178920,618161078100
024940,57900000000
005490,36492485745000
218410,443879247920
327260,79103706780
091340,31131897860
010950,8601325308800
010955,200493060950
419530,133760780100
019550,144401318325
950110,101020668000
034120,457288016700
151910,90418100160
036120,124250000000
099220,64653754461
036540,983472611940
255220,97775937555
040610,57027878908
049470,32491961448
184230,43069184971
005090,333576058950
016250,57281711100
001380,73921051092
004060,91091232000
001770,25026486800
002360,71236720930
009160,275458262360
123700,59454661380
025530,60034712160
034730,14039439502200
011790,3135495074400
018670,1462993674000
001740,1544347635750
006120,831954263500
006125,42859255250
210980,548097050800
395400,1049465457915
302440,4717223850000
326030,7588553925000
402340,9714774416400
260870,137271904000
361610,5226113493600
100090,768950428320
03473K,84014434000
096770,11786766544400
096775,105242311800
001510,300094758585
001515,9409596170
285130,1171531865700
28513K,61982069700
017670,11319435793100
000660,113713969413000
048550,166722212880
063440,85476138978
003570,620827852990
064960,649998395200
100840,170402339700
036530,350533549000
005610,509111531000
011810,282883494240
465770,64969549920
077970,295894505440
071970,300945131260
002820,34356770025
289080,121639690000
084870,35769444585
002710,1774667286900
089230,41773527000
161570,7721265564
032540,85540079260
022220,59149409218
069260,819615689400
048770,55178438365
246690,57903095352
317240,35549766000
002900,238770066800
024070,39312313470
057030,80013778785
037270,260377728050
040300,214200000000
051390,42980067880
052220,76130000000
079940,239310893120
078890,109738055100
000500,177694395900
399720,1223506080000
296520,14934425600
036620,265717527680
000860,143650000000
217730,109078953750
035250,3718285890000
114190,523766911900
094480,378567936700
011420,87745616140
039240,81478404080
053950,44847686520
002100,195225750000
009450,772135376000
267290,114370876400
012320,158456541000
011040,196612414740
000050,237416238200
214390,177388901200
012610,147113850275
009140,35107312950
024910,82204616475
013580,132266732670
012200,47394945289
012205,4582789680
002140,78060400250
198440,57787787720
049720,150150000000
010130,9356593130000
002240,567500000000
014570,72930000000
348150,170038594080
950190,158884736400
098460,1318857843550
035290,27405832760
900280,27729578880
215000,491992536000
121440,169847983370
366030,130734063000
076340,26793030000
009290,380575378260
014200,91250936176
017040,96209505300
029480,171199210325
017900,140803344090
037710,247468609000
026910,22771214775
397880,15207000000
421800,14232400000
440790,9396000000
456490,9492000000
465320,8343900000
030610,600584804470
339770,197362066000
053270,79901330575
007690,356820393600
005320,45758594739
001140,41759770400
066620,110250000000
043650,107864156160
006050,44979968227
060480,27614100000
078130,901924696800
307750,304720160490
002720,98287419640
243870,41046433890
035080,201497590080
204020,60240815700
402490,220557290800
114450,44000000000
083420,167040000000
186230,88725541600
014530,136688126400
900070,28054351296
204620,270878034960
019660,36182375840
014280,187707884800
014285,5444546250
053260,93974400000
008870,63300000000
001570,5601828570500
282720,124346070000
002990,185507046900
002995,3647479680
011780,4222201724100
011785,214062808800
214330,131183560322
001210,27893388789
073240,1812612410970
036190,158700000000
049080,104915816892
420770,842937907000
035460,35422936200
092440,91542000000
000270,50054503273500
024110,11163962166000
456700,22500000000
013700,69579663480
308100,29314443525
004540,101667091890
004545,6089240800
407400,124188471620
187790,40956622240
286750,41264950646
121600,1696302981000
247660,41614753600
039860,103343402085
091970,28661799638
417010,238279840320
244880,15386300000
405920,69155268120
288490,2515907136
051490,82644000000
137080,73102779420
190510,254768877280
242040,79940469840
089600,277057503850
293580,100941580000
257990,27360097800
138610,170239563520
130580,93324000000
036800,217500000000
267320,136013683960
001260,69221306880
008350,266548320850
008355,8282241000
004270,73691745600
003920,419040000000
003925,79100000000
025860,366629861340
111710,123116240000
091590,69970400000
168330,68273035000
094860,47079051800
253590,578831909640
212560,86624593000
095660,486945189900
042420,221864493300
950220,162043775135
311390,58410313750
085910,46890662570
092730,213391386000
290660,45605770440
306620,112835306935
153460,42836891840
007390,445892234200
033640,455649831520
330860,430096788500
005720,227561902250
005725,10819803000
002350,908311256100
002355,22945000000
089140,38695546525
137940,34774520448
396270,226716038400
348210,783208898400
092790,182794060000
225570,915946718400
217270,311634583500
251270,5303331073400
317860,21705603500
104620,109310669400
090350,210600000000
090355,7224765600
000320,160557104080
000325,7854777750
194700,191299449600
285490,220506076350
283100,13228271485
229500,227354184000
106520,15904036272
376930,116198503700
006280,1377842830200
142280,90357302025
234690,195630081520
005250,775965465000
005257,25041304000
065560,189726555040
004370,2116759416000
072710,310731930000
054050,132252128250
069140,21436087548
040160,47378252550
332290,56353547464
348340,412841464000
060260,32042794695
012340,49736297274
214870,45813404598
270870,72681769600
144960,217152341280
085670,197317641270
064260,298204598000
340360,108904412120
039560,157431334285
154040,31628065628
058730,76520932245
030210,214102537590
023590,973605588900
032190,528157000000
323350,78527500000
068240,440970434190
145210,89965683600
019680,228697695000
019685,29781575670
006370,101182062850
008060,222319384000
00806K,9068430360
353200,1099526581250
35320K,19655968220
000490,339227625240
178600,12369888000
020400,28861952300
008830,91672704000
048470,38850000000
008110,71230135130
004780,64328439955
005750,60103425200
017650,76680000000
006570,44380875000
007720,59976267750
389260,211420000000
317850,73005163400
290670,241230162000
078140,97894492570
065150,26309305050
001680,680833691250
001685,29254261050
084690,411012306300
084695,26856370800
036480,39216000000
128820,177775428540
117580,228525000000
027830,104490000000
104040,31457787405
129920,82427468530
016710,154458806400
438220,12831000000
442310,15399450000
457390,15477000000
457630,19152200000
471050,13786500000
020180,42348664330
003540,834206962000
003547,144100000000
003545,388960000000
045390,219876936240
009190,57515528550
108380,121313782440
006580,133847250000
014160,129856669702
047040,1654178099240
009320,59800621010
003090,1279123560000
069620,1327821495000
007680,69518270580
000430,344720000000
048910,142393668720
005710,130244400000
006340,87652802412
006345,6330198000
003220,329302478960
024890,75238453248
290380,56841307600
002880,49548661200
000300,30475633069
120240,132015578760
003310,58361985150
114920,5513035500
078600,1164140593600
012800,124042219139
015230,164290322500
096350,84336919635
140520,53934115865
131220,45919658400
010170,89264376868
054670,120868426400
001070,40121000000
023910,174000000000
006650,926250000000
001440,1167315674000
084010,312582199950
001790,291513885000
001795,18540693600
001130,234065000000
003490,8469075203000
003495,28547405800
005880,655909680300
003830,146876800000
016090,88564620000
069460,72137948928
021040,48455907955
021045,3483059660
067080,210926644500
298540,222888758360
032860,143288374320
192080,996335243100
393890,1518028135900
299170,62758442670
012510,1383935811200
224060,27350772480
302920,35508400200
213420,965932863100
317330,546728483000
077360,303064803340
004830,137200000000
004835,19766400000
090410,88942303350
024900,158917102400
263600,121548265300
194480,497932770000
263800,84163012200
199150,21129634350
206560,205072709520
261200,161639548920
145720,1596125286000
227420,29731674080
067990,164638584000
002150,260655600000
006620,153710956800
100130,172571860000
005160,412258063200
460850,196733156480
075970,65504000000
460860,639943419300
086450,734034600000
001230,266170042710
023450,103075000000
004140,104818308710
099410,31618239670
007590,86743965490
005960,119999436890
005965,5417568000
026960,1743753000000
002210,137552111900
102260,228075851520
033500,351776764620
025950,170520000000
000640,691396625700
170900,645261702400
088130,72827866540
028100,193223882500
282690,167268122700
041930,120712000000
001520,235581170181
001527,3671971100
084670,34659960930
082640,939106964700
060380,37902800000
001525,3545775940
079960,153898800000
008970,84765211770
228340,45500000000
092780,59587281500
088910,74653797960
094170,398008401000
049770,614565497000
013120,271970259500
018500,86496626050
006040,1808175668500
030720,31273569600
014820,1001648793100
014825,6048141900
111380,148604000000
163560,124961000000
109860,85540000000
032960,45221089320
004890,112166193750
002690,38651885440
023790,17918814303
005290,1912619176800
025900,1388797636500
000020,271493888400
000150,1503668985000
000157,59297723200
454910,4790196522000
241560,4706698343700
034020,10402713011040
000155,202620623400
131970,726180368200
336260,1300050461100
33626K,86600016000
33626L,26488481000
016740,127802718200
073190,30398821600
176750,170258886000
030350,36359821852
203650,193060951510
223250,67571448000
060570,238964170680
362990,50547875790
192650,757565620500
217620,35861017410
016670,26890518336
187870,105126938460
066670,98132569500
024090,127680000000
003160,246776000000
092200,175193003345
110990,438480000000
263690,116767039100
214680,275672471700
377190,217028000000
263720,346301678450
376300,840339572400
109740,142961773900
196490,73693071600
066900,70394236785
127120,59796979200
092070,249952132800
039840,335105030500
013570,163444920930
219550,37123375950
310870,33906437169
210540,147517218880
104460,223914762500
079810,326676634020
113810,34650990162
043360,24210000000
197140,42538991760
068930,177122188800
033130,77199755360
105740,81252104000
263020,44591571600
290550,175109319980
187220,53810896600
383930,128960086560
163430,39416507530
131180,32285000000
315640,184190716620
317120,40137300000
042510,139784548145
232680,116067006840
418420,195302748380
300120,147102244720
171120,119373352000
388790,62220974400
069540,48893915112
347700,36733275950
214260,140761454160
403360,46434960000
115390,272956389300
200350,70490947410
171010,66119880680
084650,240908767550
217500,101321220000
092590,4899617856
141080,1496000492000
038390,133566414000
294140,66780000000
443250,127818849260
228670,251269666920
228850,151807778100
412350,75485112240
199550,148562542320
281740,1370481925800
277810,3131137081200
179720,29856181500
215100,100724847300
090360,322725000000
238500,26759385534
108490,354556569600
900260,25762370920
223220,22795332120
067730,32504377920
071280,135833834640
032350,685759867550
089860,989119701000
330590,760492606920
000400,887561875200
023530,2195207388000
020150,1604657058000
280360,1237816108800
004000,1225500000000
286940,568124613900
004990,3168258957400
00499K,29968431600
005300,1164499942000
005305,52333425000
011170,5235711285600
071840,236549274240
328130,1748596448000
038060,53346303521
162120,56048673600
253610,16631686030
060240,38499935976
058470,3170412960000
039980,95624254006
019570,32374014680
016100,39634355050
012700,157354503250
302550,87471718400
073570,226422833910
377450,155970000000
277070,91873320000
042500,95826918720
219420,82580450400
439090,347219112000
027740,74816226584
195500,48660040000
357430,75885900000
377480,161548754600
305090,90692651200
448780,5944449600
098120,88281574920
424980,75288280800
038290,227127330000
001080,195672500000
267980,320020430400
005990,111804177600
093520,276550504120
377030,123492265420
088980,5547496649150
094800,385726645305
100590,83424221210
067280,215142077700
072870,130653710640
215200,725057388000
133750,71157514080
446540,95027325000
235980,490949760900
200580,44303079310
041920,118470680510
233250,25324743000
014100,35282000000
236340,14168840900
054180,43458528412
086900,1153157944000
078160,241235384250
065650,60273115374
138040,16900222673400
408920,104622541100
021880,50829592272
140410,1197618885050
241770,92753024000
090370,54292222020
059210,114777908310
058110,50719674800
017180,70113882510
009900,845293842630
012690,105142358125
005360,56975380605
434480,73873721000
080420,196115190120
417970,99084883000
080160,317520000000
087260,78615159315
101330,82982098965
012860,142146140037
363260,91023467402
348030,80767958000
250060,140427785610
288980,72752713920
033200,56966460375
333050,30758303404
009680,272580000000
118990,374670189300
006920,45372600000
009580,193653646020
001810,42725375000
009200,92580714750
322970,27842695240
033920,145065000000
008420,61510515000
279600,59028240600
095500,693073477650
254490,309695100000
025560,66184749750
218150,92789820090
007120,30839243904
396690,120600087300
442900,73881600000
357250,77109898925
100790,338069570000
412930,13587200000
446190,10964250000
448830,10971600000
085620,863839002320
006800,5459954000160
00680K,565600000000
006805,61933300000
208890,4446127200
049950,242932704200
207760,206058938985
002840,781375000000
268280,667500000000
107590,182816000000
134380,155048394000
351020,12657500000
003650,140043596000
059090,312446874300
214610,75766395355
201490,93773310000
418470,186639430250
206640,374375766400
018700,57420802695
035620,49055745825
354390,44846598330
053030,347148254640
301300,87615462600
377740,455169974080
064550,632352129500
314930,73512243550
208710,44383636806
086820,131923501200
038460,66233337230
251120,108870164000
199730,49215855420
266470,5148999155
289170,12062033415
086040,93355744950
199290,14692672800
099430,399722961600
032980,45173654440
308080,99086875800
043150,451569382400
323990,441469440000
003610,90552152600
267790,56797200000
001340,349914390530
046310,46546847235
035150,252618300000
331520,44964120760
438700,86461751800
066410,96978744678
002410,42313697328
382900,159099760000
206400,124611052320
019010,101220000000
322190,954996079
177350,56161255564
299910,32483121920
424760,30489403140
007210,169000400000
225530,198046062150
250000,72840409070
002760,73796800000
003850,816724100000
310210,772507030800
006910,152302454400
000890,71646866435
226340,80862334050
206950,30054960775
003000,465462970950
001270,274801979000
001275,64050000000
026940,70100000000
014470,149229866100
011390,62304000000
005030,38288532168
008470,38746128000
338220,405210946400
100120,287553618750
406820,51526303200
337930,154234924030
099390,63367944760
064480,97890975000
288330,81415876485
365900,29972230000
251630,142529400840
018290,594962876340
044480,35567796491
439580,182611994400
033560,54036000000
191600,32689500000
369370,111593547000
126340,262603714250
121800,256309348520
148140,120570191460
082800,148009965050
318410,59996624400
002070,34054530570
100220,79929957150
419540,49089010985
146320,301912982800
200780,58334039040
413640,65439015200
141000,98856033600
090460,588306949530
083650,257147756250
445360,9094100000
142760,59095600071
065170,36211017513
086220,27069094400
086670,114703437180
335890,426998672640
230980,24543306491
138580,283079845650
082920,384747312000
054220,28119862628
042370,212220202500
030790,19208323080
050090,21169666450
307870,53717146520
357880,59948307440
032850,114368255840
148780,52168457775
238200,41963400000
093190,105044421300
065450,152146368000
210120,51571604000
005180,521130648900
072950,49040394900
266170,4067428739
143240,205274930910
003960,329462588650
008040,133805080800
007160,203000000000
014710,61039734935
006090,80941328010
452430,257818951800
419120,79223661720
122350,76870553140
419050,159005547200
014970,60046250000
018310,268275000000
012210,47241047395
053700,130767627000
009620,52308417590
023600,184176300000
001470,493286098410
448730,386500000000
006400,25924227810000
006405,371307132000
006660,69561247840
028260,29082214689000
02826K,192361635000
207940,55088676000000
032830,19380000000000
425290,12806400000
439250,34564740000
448740,45240800000
468510,22652500000
018260,12380448000000
028050,4821600000000
009150,10457117440000
009155,202907483200
005930,438182039170000
005935,52335594120000
001360,142383607480
010140,6952000000000
016360,3710415000000
068290,231500000000
029780,4350501357050
000810,14117701426000
000815,726180000000
006110,1455008492400
009300,108927000000
145990,498139586700
145995,10380463500
003230,1287392263500
225190,92869645200
002170,152700000000
272550,281827777350
000070,623478928800
000075,16662378400
003720,145180000000
002810,257244585640
361670,26156241670
054540,50960000000
065570,37338677880
005680,193200000000
023000,118000000000
004380,313320000000
002450,109723468980
032280,29703296880
002290,45074000000
004440,56084226535
000520,155973069000
009770,63999257600
037460,139686548320
032750,43544876400
054090,33944555520
005500,284950000000
000250,1679554995200
004690,407935515000
024950,72340994650
038500,330763477890
017480,76473074300
010960,81875000000
046390,79006467390
004450,68616971150
009470,114022256800
011230,73780285500
001820,341995500000
000390,182807311680
027580,113746418238
038540,188669547330
101000,40939196640
415580,11257200000
452670,10596600000
001290,86561358880
041650,79229650500
091580,218732914950
263810,64742243310
089980,319620849630
